,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
230,Giannelli Imbula\Giannelli-Imbula,cd COD,MF,Rayo Vallecano,25,1992,22,21,1732,1,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,1,1,0.6,0.05,0.03,0.09,0.05,0.09,Matches
231,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,24,1993,10,10,776,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
232,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Alavés,30,1988,12,10,828,2,0,0,0,0,0,0.22,0,0.22,0.22,0.22,1.6,1.6,0.4,0.17,0.04,0.21,0.17,0.21,Matches
233,Takashi Inui\Takashi-Inui,jp JPN,FWMF,Betis,30,1988,8,5,377,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0.2,0.32,0.04,0.36,0.32,0.36,Matches
234,Gorka Iraizoz\Gorka-Iraizoz,es ESP,GK,Girona,37,1981,7,6,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
235,Carlos Isaac\Carlos-Isaac,es ESP,DF,Atlético Madrid,20,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.13,0.04,0.17,0.13,0.17,Matches
236,Isco\Isco,es ESP,MFFW,Real Madrid,26,1992,27,11,1192,3,2,0,0,3,0,0.23,0.15,0.38,0.23,0.38,4,4,2.2,0.3,0.17,0.47,0.3,0.47,Matches
237,Manuel Iturra\Manuel-Iturra,cl CHI,MF,Villarreal,34,1984,3,1,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
238,Ander Iturraspe\Ander-Iturraspe,es ESP,MF,Athletic Club,29,1989,3,1,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
239,Ivi\Ivi,es ESP,MFFW,Valladolid,24,1994,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.39,0,0.39,0.39,0.39,Matches
240,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,23,1995,20,13,1254,1,3,0,0,1,0,0.07,0.22,0.29,0.07,0.29,2.3,2.3,2,0.17,0.14,0.31,0.17,0.31,Matches
241,Jason\Jason,es ESP,MFDF,Levante,24,1994,30,26,2330,2,5,0,0,10,0,0.08,0.19,0.27,0.08,0.27,2.7,2.7,5.2,0.11,0.2,0.31,0.11,0.31,Matches
242,Mathias Jensen\Mathias-Jensen,dk DEN,MFFW,Celta Vigo,22,1996,6,3,235,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.08,0.04,0.12,0.08,0.12,Matches
243,Jesé\Jese,es ESP,FWMF,Betis,25,1993,14,9,779,2,0,0,0,2,0,0.23,0,0.23,0.23,0.23,3,3,0.8,0.35,0.09,0.44,0.35,0.44,Matches
244,Joaquín\Joaquin,es ESP,FWDF,Betis,37,1981,30,17,1696,6,0,0,0,5,0,0.32,0,0.32,0.32,0.32,4.2,4.2,3.3,0.22,0.17,0.39,0.22,0.39,Matches
245,Jony\Jony,es ESP,MFFW,Alavés,27,1991,36,34,2971,4,11,0,0,3,0,0.12,0.33,0.45,0.12,0.45,4.4,4.4,7.2,0.13,0.22,0.35,0.13,0.35,Matches
246,Joan Jordán\Joan-Jordan,es ESP,MF,Eibar,24,1994,36,32,2875,4,4,0,0,10,0,0.13,0.13,0.25,0.13,0.25,2.9,2.9,3.8,0.09,0.12,0.21,0.09,0.21,Matches
247,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,26,1991,31,28,2367,11,5,5,7,5,1,0.42,0.19,0.61,0.23,0.42,11.8,6.8,3.4,0.45,0.13,0.58,0.26,0.39,Matches
248,Aleksandar Jovanović\Aleksandar-Jovanovic,rs SRB,GK,Huesca,25,1992,12,12,1080,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
249,Jozabed\Jozabed,es ESP,MF,Celta Vigo,27,1991,20,14,1155,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,1,0.05,0.08,0.13,0.05,0.13,Matches
250,Miguel Juan Llambrich\Miguel-Juan-Llambrich,es ESP,DF,Villarreal,22,1996,8,5,544,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
251,Juanfran\Juanfran,es ESP,DF,Atlético Madrid,33,1985,22,18,1609,0,2,0,0,7,0,0,0.11,0.11,0,0.11,0,0,2.5,0,0.14,0.14,0,0.14,Matches
252,Juanfran\Juanfran,es ESP,DF,Leganés,29,1988,23,17,1459,1,1,0,0,0,0,0.06,0.06,0.12,0.06,0.12,0.5,0.5,2.2,0.03,0.14,0.16,0.03,0.16,Matches
253,Juanmi\Juanmi,es ESP,FWMF,Real Sociedad,25,1993,30,16,1523,5,2,0,0,5,1,0.3,0.12,0.41,0.3,0.41,6.4,6.4,1.5,0.38,0.09,0.47,0.38,0.47,Matches
254,Juanpe\Juanpe,es ESP,DF,Girona,27,1991,33,31,2767,0,0,0,0,8,0,0,0,0,0,0,1,1,0.4,0.03,0.01,0.05,0.03,0.05,Matches
255,Juanpi\Juanpi,ve VEN,MFFW,Huesca,24,1994,14,8,670,2,2,1,1,2,0,0.27,0.27,0.54,0.13,0.4,1.6,0.8,0.5,0.21,0.07,0.28,0.11,0.18,Matches
256,David Juncà\David-Junca,es ESP,DF,Celta Vigo,24,1993,21,21,1754,0,3,0,0,6,0,0,0.15,0.15,0,0.15,0.3,0.3,0.8,0.02,0.04,0.06,0.02,0.06,Matches
257,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,18,2000,18,9,869,2,0,0,0,0,0,0.21,0,0.21,0.21,0.21,2.9,2.9,1.4,0.3,0.15,0.45,0.3,0.45,Matches
258,Gaël Kakuta\Gael-Kakuta,cd COD,MFFW,Rayo Vallecano,27,1991,12,9,717,1,0,1,1,1,0,0.13,0,0.13,0,0,1.2,0.4,0.3,0.15,0.04,0.19,0.05,0.09,Matches
259,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Atlético Madrid,30,1988,17,7,642,2,0,0,0,3,0,0.28,0,0.28,0.28,0.28,1.5,1.5,0.2,0.21,0.02,0.23,0.21,0.23,Matches
260,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,17,2001,3,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07,0.18,0.25,0.07,0.25,Matches
261,Wilfrid Kaptoum\Wilfrid-Kaptoum,cm CMR,MF,Betis,22,1996,10,9,773,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
262,Keko\Keko,es ESP,MFFW,Valladolid,26,1991,26,20,1533,2,1,0,0,2,0,0.12,0.06,0.18,0.12,0.18,3.3,3.3,2.2,0.19,0.13,0.32,0.19,0.32,Matches
263,Kike\Kike,es ESP,FW,Eibar,28,1989,30,15,1298,3,0,0,0,0,0,0.21,0,0.21,0.21,0.21,5,5,1.4,0.35,0.1,0.45,0.35,0.45,Matches
264,Simon Kjær\Simon-Kjaer,dk DEN,DF,Sevilla,29,1989,26,25,2008,0,0,0,0,5,0,0,0,0,0,0,0.9,0.9,0.4,0.04,0.02,0.06,0.04,0.06,Matches
265,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,24,1993,11,0,161,1,0,0,0,0,0,0.56,0,0.56,0.56,0.56,0.2,0.2,0.2,0.09,0.09,0.18,0.09,0.18,Matches
266,Koke\Koke,es ESP,MF,Atlético Madrid,26,1992,30,29,2586,3,5,0,0,10,1,0.1,0.17,0.28,0.1,0.28,1.1,1.1,3.3,0.04,0.12,0.16,0.04,0.16,Matches
267,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,25,1993,19,14,1245,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,2,2,0.9,0.15,0.07,0.21,0.15,0.21,Matches
268,Vasyl Kravets\Vasyl-Kravets,ua UKR,DF,Leganés,20,1997,6,6,481,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.5,0.02,0.1,0.12,0.02,0.12,Matches
269,Toni Kroos\Toni-Kroos,de GER,MF,Real Madrid,28,1990,28,26,2221,0,4,0,0,2,0,0,0.16,0.16,0,0.16,1.2,1.2,3.6,0.05,0.15,0.19,0.05,0.19,Matches
270,Víctor Laguardia\Victor-Laguardia,es ESP,DF,Alavés,28,1989,36,36,3240,1,2,0,0,13,0,0.03,0.06,0.08,0.03,0.08,1.4,1.4,1.1,0.04,0.03,0.07,0.04,0.07,Matches
271,Diego Lainez\Diego-Lainez,mx MEX,MFFW,Betis,18,2000,12,3,353,0,1,0,0,2,0,0,0.25,0.25,0,0.25,0.2,0.2,0.4,0.06,0.09,0.15,0.06,0.15,Matches
272,Toni Lato\Toni-Lato,es ESP,DF,Valencia,20,1997,4,3,270,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.06,0.02,0.08,0.06,0.08,Matches
273,Miguel Layún\Miguel-Layun,mx MEX,MFDF,Villarreal,30,1988,8,5,506,0,1,0,0,1,0,0,0.18,0.18,0,0.18,0.6,0.5,1.3,0.11,0.22,0.34,0.08,0.31,Matches
274,Robin Le Normand\Robin-Le-Normand,fr FRA,DF,Real Sociedad,21,1996,4,3,284,0,1,0,0,1,0,0,0.32,0.32,0,0.32,0.3,0.3,0,0.09,0.01,0.1,0.09,0.1,Matches
275,Wu Lei\Wu-Lei,cn CHN,FWMF,Espanyol,26,1991,16,12,1061,3,1,0,0,1,0,0.25,0.08,0.34,0.25,0.34,4.1,4.1,0.7,0.35,0.06,0.41,0.35,0.41,Matches
276,Iñigo Lekue\Inigo-Lekue,es ESP,DF,Athletic Club,25,1993,4,2,211,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.03,0.03,0,0.03,Matches
277,Thomas Lemar\Thomas-Lemar,fr FRA,MFFW,Atlético Madrid,22,1995,31,22,1817,2,3,0,0,4,0,0.1,0.15,0.25,0.1,0.25,2.7,2.7,2.8,0.13,0.14,0.27,0.13,0.27,Matches
278,Clément Lenglet\Clement-Lenglet,fr FRA,DF,Barcelona,23,1995,23,22,1933,1,0,0,0,8,1,0.05,0,0.05,0.05,0.05,1.2,1.2,0,0.05,0,0.05,0.05,0.05,Matches
279,Pedro León\Pedro-Leon,es ESP,MFFW,Eibar,31,1986,9,5,425,1,0,0,0,0,0,0.21,0,0.21,0.21,0.21,1.1,1.1,0.2,0.23,0.05,0.27,0.23,0.27,Matches
280,Sergio León\Sergio-Leon,es ESP,FWMF,Betis,29,1989,16,6,638,0,1,0,0,1,0,0,0.14,0.14,0,0.14,0.5,0.5,0.5,0.07,0.07,0.14,0.07,0.14,Matches
281,Diego Llorente\Diego-Llorente,es ESP,DF,Real Sociedad,24,1993,21,20,1752,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.1,0.02,0,0.02,0.02,0.02,Matches
282,Marcos Llorente\Marcos-Llorente,es ESP,MF,Real Madrid,23,1995,7,6,540,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.02,0.05,0.07,0.02,0.07,Matches
283,Giovani Lo Celso\Giovani-Lo-Celso,ar ARG,MFFW,Betis,22,1996,32,27,2397,9,4,2,4,5,0,0.34,0.15,0.49,0.26,0.41,8.8,5.8,3.6,0.33,0.14,0.47,0.22,0.35,Matches
284,Stanislav Lobotka\Stanislav-Lobotka,sk SVK,MF,Celta Vigo,23,1994,31,27,2489,0,1,0,0,1,0,0,0.04,0.04,0,0.04,0.7,0.7,0.9,0.03,0.03,0.06,0.03,0.06,Matches
285,Samuele Longo\Samuele-Longo,it ITA,FWMF,Huesca,26,1992,15,6,556,1,2,0,0,4,0,0.16,0.32,0.49,0.16,0.49,2.3,2.3,0.6,0.38,0.09,0.47,0.38,0.47,Matches
286,Pedro López Muñoz\Pedro-Lopez-Munoz,es ESP,DF,Levante,34,1983,8,4,465,0,1,0,0,1,0,0,0.19,0.19,0,0.19,0.2,0.2,0.5,0.03,0.1,0.13,0.03,0.13,Matches
287,Alejandro López\Alejandro-Lopez,es ESP,MF,Espanyol,21,1997,4,1,112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
288,David López\David-Lopez,es ESP,DF,Espanyol,28,1989,21,21,1819,0,0,0,0,4,0,0,0,0,0,0,0.9,0.9,0.2,0.04,0.01,0.05,0.04,0.05,Matches
289,Diego López\Diego-Lopez,es ESP,GK,Espanyol,36,1981,38,38,3420,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
290,Javi López\Javi-Lopez,es ESP,DF,Espanyol,32,1986,23,21,1948,0,1,0,0,5,1,0,0.05,0.05,0,0.05,0.5,0.5,1.5,0.02,0.07,0.09,0.02,0.09,Matches
291,Lluis López\Lluis-Lopez,es ESP,DF,Espanyol,21,1997,6,5,521,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0,0.02,0.02,0.02,Matches
292,Pau López\Pau-Lopez,es ESP,GK,Betis,23,1994,33,33,2970,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
293,Roberto López\Roberto-Lopez,es ESP,MF,Real Sociedad,18,2000,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
294,Unai López\Unai-Lopez,es ESP,MF,Athletic Club,22,1995,7,3,328,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.3,0.1,0.08,0.18,0.1,0.18,Matches
295,Anthony Lozano\Anthony-Lozano,hn HON,FWMF,Girona,25,1993,20,7,730,0,0,0,0,4,1,0,0,0,0,0,2.1,2.1,0.6,0.26,0.07,0.33,0.26,0.33,Matches
296,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,23,1995,35,35,3137,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.8,0.8,2.1,0.02,0.06,0.08,0.02,0.08,Matches
297,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,31,1987,37,35,3195,12,5,3,5,7,0,0.34,0.14,0.48,0.25,0.39,13.6,9.8,5.6,0.38,0.16,0.54,0.28,0.43,Matches
298,Filipe Luís\Filipe-Luis,br BRA,DF,Atlético Madrid,32,1985,27,24,2030,2,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,0.7,0.7,1.1,0.03,0.05,0.08,0.03,0.08,Matches
299,Luisinho\Luisinho,pt POR,DF,Huesca,33,1985,7,6,507,0,0,0,0,4,0,0,0,0,0,0,0.1,0.1,0.3,0.02,0.05,0.07,0.02,0.07,Matches
300,Douglas Luiz\Douglas-Luiz,br BRA,MF,Girona,20,1998,23,16,1490,0,0,0,0,7,0,0,0,0,0,0,1.1,1.1,0.4,0.07,0.02,0.09,0.07,0.09,Matches
301,Antonio Luna\Antonio-Luna,es ESP,DF,Levante,27,1991,16,14,1258,0,2,0,0,4,0,0,0.14,0.14,0,0.14,0.3,0.3,1.5,0.02,0.11,0.13,0.02,0.13,Matches
302,Andriy Lunin\Andriy-Lunin,ua UKR,GK,Leganés,19,1999,5,4,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
303,Nemanja Maksimović\Nemanja-Maksimovic,rs SRB,MF,Getafe,23,1995,36,36,3209,1,0,0,0,4,0,0.03,0,0.03,0.03,0.03,2.2,2.2,0.7,0.06,0.02,0.08,0.06,0.08,Matches
304,Malcom\Malcom,br BRA,FWDF,Barcelona,21,1997,15,6,614,1,2,0,0,0,0,0.15,0.29,0.44,0.15,0.44,1.5,1.5,1.6,0.23,0.24,0.47,0.23,0.47,Matches
305,Hugo Mallo\Hugo-Mallo,es ESP,DF,Celta Vigo,27,1991,35,35,3092,1,4,0,0,11,0,0.03,0.12,0.15,0.03,0.15,1.4,1.4,4,0.04,0.12,0.16,0.04,0.16,Matches
306,Aïssa Mandi\Aissa-Mandi,dz ALG,DF,Betis,26,1991,35,34,3059,1,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,0.7,0.7,1.2,0.02,0.04,0.06,0.02,0.06,Matches
307,Martín Mantovani\Martin-Mantovani,ar ARG,DF,Huesca,34,1984,9,6,701,2,0,0,0,2,0,0.26,0,0.26,0.26,0.26,0.5,0.5,0,0.06,0,0.06,0.06,0.06,Matches
308,Francisco Manzanara\Francisco-Manzanara,es ESP,DFMF,Levante,21,1996,4,1,157,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.23,0,0.23,0.23,0.23,Matches
309,Marcelo\Marcelo,br BRA,DF,Real Madrid,30,1988,23,21,1853,2,2,0,0,6,0,0.1,0.1,0.19,0.1,0.19,1.5,1.5,3,0.07,0.15,0.22,0.07,0.22,Matches
310,Óscar de Marcos\Oscar-de-Marcos,es ESP,DFFW,Athletic Club,29,1989,30,28,2421,1,2,0,0,7,2,0.04,0.07,0.11,0.04,0.11,1.2,1.2,2.6,0.05,0.1,0.14,0.05,0.14,Matches
311,Miguel Marí\Miguel-Mari,es ESP,MF,Eibar,21,1997,2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
312,José María Giménez\Jose-Maria-Gimenez,uy URU,DF,Atlético Madrid,23,1995,21,19,1772,0,0,0,0,5,0,0,0,0,0,0,0.8,0.8,0.4,0.04,0.02,0.06,0.04,0.06,Matches
313,Mariano\Mariano,do DOM,FW,Real Madrid,24,1993,13,3,447,3,0,0,0,2,0,0.6,0,0.6,0.6,0.6,2.9,2.9,0.8,0.58,0.16,0.74,0.58,0.74,Matches
314,Adrián Marín\Adrian-Marin,es ESP,DFMF,Alavés,21,1997,6,2,290,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.06,0,0.06,0.06,0.06,Matches
315,Guillermo Maripán\Guillermo-Maripan,cl CHI,DF,Alavés,24,1994,23,22,2008,2,2,0,0,5,0,0.09,0.09,0.18,0.09,0.18,1.2,1.2,0.6,0.05,0.03,0.08,0.05,0.08,Matches
316,Roger Martí\Roger-Marti,es ESP,FW,Levante,27,1991,31,23,1887,13,0,2,2,5,0,0.62,0,0.62,0.52,0.52,12.8,11,1,0.61,0.05,0.66,0.53,0.57,Matches
317,Iñigo Martínez\Inigo-Martinez,es ESP,DF,Athletic Club,27,1991,33,33,2902,0,0,0,0,12,0,0,0,0,0,0,1.4,1.4,0.5,0.04,0.01,0.06,0.04,0.06,Matches
318,Gelson Martins\Gelson-Martins,pt POR,FW,Atlético Madrid,23,1995,8,1,229,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.26,0.02,0.28,0.26,0.28,Matches
319,Jordi Masip\Jordi-Masip,es ESP,GK,Valladolid,29,1989,35,35,3150,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,Matches
320,Jaime Mata\Jaime-Mata,es ESP,FWMF,Getafe,29,1988,34,27,2432,14,6,4,4,10,0,0.52,0.22,0.74,0.37,0.59,12.4,9.4,3,0.46,0.11,0.57,0.35,0.46,Matches
321,Borja Mayoral\Borja-Mayoral,es ESP,FW,Levante,21,1997,29,16,1621,3,2,0,0,1,0,0.17,0.11,0.28,0.17,0.28,3.4,3.4,2.9,0.19,0.16,0.35,0.19,0.35,Matches
322,Róbert Mazáň\Robert-Mazan,sk SVK,DF,Celta Vigo,24,1994,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.02,0.05,0.07,0.02,0.07,Matches
323,Álvaro Medrán\Alvaro-Medran,es ESP,MF,Rayo Vallecano,24,1994,21,12,1149,3,0,0,0,8,1,0.23,0,0.23,0.23,0.23,1.5,1.5,1.5,0.12,0.12,0.24,0.12,0.24,Matches
324,Óscar Melendo\Oscar-Melendo,es ESP,MFFW,Espanyol,20,1997,32,22,1997,0,5,0,0,3,0,0,0.23,0.23,0,0.23,0.8,0.8,3.3,0.04,0.15,0.18,0.04,0.18,Matches
325,Gonzalo Melero\Gonzalo-Melero,es ESP,MF,Huesca,24,1994,22,14,1345,2,1,1,2,3,0,0.13,0.07,0.2,0.07,0.13,4,2.5,1.1,0.27,0.07,0.34,0.17,0.24,Matches
326,Arthur Melo\Arthur-Melo,br BRA,MF,Barcelona,21,1996,27,19,1430,0,1,0,0,2,0,0,0.06,0.06,0,0.06,0.3,0.3,1.6,0.02,0.1,0.12,0.02,0.12,Matches
327,Brais Méndez\Brais-Mendez,es ESP,MFFW,Celta Vigo,21,1997,31,27,2349,6,7,1,1,5,0,0.23,0.27,0.5,0.19,0.46,5.6,4.8,3.3,0.21,0.13,0.34,0.18,0.31,Matches
328,Gabriel Mercado\Gabriel-Mercado,ar ARG,DF,Sevilla,31,1987,23,19,1738,2,1,0,0,10,0,0.1,0.05,0.16,0.1,0.16,1.1,1.1,0,0.06,0,0.06,0.06,0.06,Matches
329,Mikel Merino\Mikel-Merino,es ESP,MF,Real Sociedad,22,1996,29,24,2055,3,3,0,0,10,1,0.13,0.13,0.26,0.13,0.26,2.6,2.6,1.7,0.12,0.08,0.19,0.12,0.19,Matches
330,Sabin Merino\Sabin-Merino,es ESP,FWMF,Leganés,26,1992,12,2,295,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0.2,0.46,0.05,0.51,0.46,0.51,Matches
331,Martín Merquelanz\Martin-Merquelanz,es ESP,MF,Real Sociedad,23,1995,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Roque Mesa\Roque-Mesa,es ESP,MF,Sevilla,29,1989,31,20,1746,2,2,0,0,11,1,0.1,0.1,0.21,0.1,0.21,1.7,1.7,1.4,0.09,0.07,0.16,0.09,0.16,Matches
333,Lionel Messi\Lionel-Messi,ar ARG,FW,Barcelona,31,1987,34,29,2713,36,13,4,5,3,0,1.19,0.43,1.63,1.06,1.49,23.3,19.5,13.5,0.77,0.45,1.22,0.65,1.1,Matches
334,Míchel\Michel,es ESP,MF,Valladolid,30,1988,35,27,2553,1,2,0,1,9,0,0.04,0.07,0.11,0.04,0.11,1.5,0.7,3.8,0.05,0.13,0.19,0.02,0.16,Matches
335,Miguel\Miguel,es ESP,MF,Valladolid,18,1999,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1.18,0,1.18,1.18,1.18,Matches
336,Pere Milla\Pere-Milla,es ESP,FWMF,Eibar,25,1992,5,5,341,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.05,0.05,0.1,0.05,0.1,Matches
337,Santi Mina\Santi-Mina,es ESP,FW,Valencia,22,1995,30,23,1852,7,5,0,0,4,0,0.34,0.24,0.58,0.34,0.58,7.4,7.2,2.6,0.36,0.13,0.48,0.35,0.48,Matches
338,Ignasi Miquel\Ignasi-Miquel,es ESP,DF,Getafe,25,1992,7,4,316,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Jorge Miramón\Jorge-Miramon,es ESP,DF,Huesca,29,1989,30,30,2492,1,0,0,0,5,0,0.04,0,0.04,0.04,0.04,0.7,0.7,1.7,0.02,0.06,0.09,0.02,0.09,Matches
340,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,32,1985,34,31,2608,3,6,0,0,6,0,0.1,0.21,0.31,0.1,0.31,2.9,2.9,3.1,0.1,0.11,0.21,0.1,0.21,Matches
341,Johan Mojica\Johan-Mojica,co COL,DFMF,Girona,25,1992,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
342,Jorge Molina\Jorge-Molina,es ESP,FW,Getafe,36,1982,38,28,2648,14,5,2,2,2,0,0.48,0.17,0.65,0.41,0.58,11.4,9.9,5.3,0.39,0.18,0.57,0.34,0.52,Matches
343,Victor Mollejo\Victor-Mollejo,es ESP,FWMF,Atlético Madrid,17,2001,4,0,65,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.09,0.05,0.14,0.09,0.14,Matches
344,Francisco Montero\Francisco-Montero,es ESP,DF,Atlético Madrid,19,1999,9,4,404,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
345,Emre Mor\Emre-Mor,tr TUR,FWMF,Celta Vigo,21,1997,10,4,369,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.15,0.03,0.19,0.15,0.19,Matches
346,Álvaro Morata\Alvaro-Morata,es ESP,FW,Atlético Madrid,25,1992,15,13,1083,6,1,0,0,5,0,0.5,0.08,0.58,0.5,0.58,6.6,6.6,1.3,0.55,0.11,0.65,0.55,0.65,Matches
347,Álex Moreno\Alex-Moreno,es ESP,DF,Rayo Vallecano,25,1993,36,36,3136,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,1.2,1.2,3.2,0.03,0.09,0.12,0.03,0.12,Matches
348,Gerard Moreno\Gerard-Moreno,es ESP,FW,Villarreal,26,1992,35,25,2315,8,1,0,1,3,0,0.31,0.04,0.35,0.31,0.35,9.6,8.8,3.3,0.37,0.13,0.5,0.34,0.47,Matches
349,Héctor Moreno\Hector-Moreno,mx MEX,DF,Real Sociedad,30,1988,25,21,1933,1,0,0,0,2,0,0.05,0,0.05,0.05,0.05,0.5,0.5,0.5,0.02,0.02,0.05,0.02,0.05,Matches
350,Sergio Moreno\Sergio-Moreno,es ESP,MF,Rayo Vallecano,,,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,1.64,0,1.64,1.64,1.64,Matches
351,Manu Morlanes\Manu-Morlanes,es ESP,MF,Villarreal,19,1999,10,7,610,0,3,0,0,2,0,0,0.44,0.44,0,0.44,0.1,0.1,1,0.01,0.15,0.16,0.01,0.16,Matches
352,Loren Morón\Loren-Moron,es ESP,FW,Betis,24,1993,33,22,1957,6,0,0,0,4,0,0.28,0,0.28,0.28,0.28,7.9,7.8,1.3,0.36,0.06,0.42,0.36,0.42,Matches
353,Toni Moya\Toni-Moya,es ESP,DF,Atlético Madrid,20,1998,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
354,Javi Moyano\Javi-Moyano,es ESP,DF,Valladolid,32,1986,27,25,2098,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches
355,Iker Muniain\Iker-Muniain,es ESP,FWMF,Athletic Club,25,1992,34,27,2383,7,3,1,1,7,0,0.26,0.11,0.38,0.23,0.34,6.4,5.7,3.3,0.24,0.13,0.37,0.21,0.34,Matches
356,Marc Muniesa\Marc-Muniesa,es ESP,DFMF,Girona,26,1992,19,15,1406,0,0,0,0,6,0,0,0,0,0,0,0.4,0.4,0.5,0.02,0.03,0.06,0.02,0.06,Matches
357,Aihen Muñoz\Aihen-Munoz,es ESP,DF,Real Sociedad,20,1997,11,11,951,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches
358,Ezequiel Muñoz\Ezequiel-Munoz,ar ARG,DF,Leganés,27,1990,3,2,211,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.06,0,0.06,0.06,0.06,Matches
