Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
39,Antonio Barreca\Antonio-Barreca,it ITA,DF,Newcastle Utd,23,1995,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,24,1993,11,9,750,5,0,0,0,0,0,0.6,0,0.6,0.6,0.6,3.5,3.5,0.1,0.42,0.01,0.43,0.42,0.43,Matches
41,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,22,1996,25,24,2151,0,1,0,0,7,0,0,0.04,0.04,0,0.04,0.6,0.6,0.4,0.03,0.02,0.05,0.03,0.05,Matches
42,Asmir Begović\Asmir-Begovic,ba BIH,GK,Bournemouth,31,1987,24,24,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,19,18,1533,0,5,0,0,3,0,0,0.29,0.29,0,0.29,0.9,0.9,2.2,0.05,0.13,0.18,0.05,0.18,Matches
44,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,30,30,2639,0,1,0,0,5,0,0,0.03,0.03,0,0.03,0.5,0.5,1.1,0.02,0.04,0.06,0.02,0.06,Matches
45,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34,34,3060,1,0,0,0,12,0,0.03,0,0.03,0.03,0.03,1.2,1.2,0.4,0.04,0.01,0.05,0.04,0.05,Matches
46,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,16,9,814,1,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,3.3,3.3,1.3,0.36,0.14,0.51,0.36,0.51,Matches
47,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,29,19,1752,3,6,0,0,2,0,0.15,0.31,0.46,0.15,0.46,2.9,2.9,3.8,0.15,0.2,0.35,0.15,0.35,Matches
48,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,34,25,2116,1,3,0,0,5,0,0.04,0.13,0.17,0.04,0.17,2.6,2.6,3.2,0.11,0.14,0.25,0.11,0.25,Matches
49,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,22,19,1752,0,1,0,0,4,0,0,0.05,0.05,0,0.05,0.4,0.4,0.9,0.02,0.05,0.07,0.02,0.07,Matches
50,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24,24,2160,1,0,0,0,8,0,0.04,0,0.04,0.04,0.04,0.9,0.9,1.9,0.04,0.08,0.11,0.04,0.11,Matches
51,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,7,630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Philip Billing\Philip-Billing,dk DEN,MF,Huddersfield,22,1996,27,25,2188,2,0,0,0,7,0,0.08,0,0.08,0.08,0.08,1.8,1.8,1.1,0.08,0.05,0.12,0.08,0.12,Matches
53,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,21,1996,28,17,1774,0,0,0,0,5,0,0,0,0,0,0,1.6,1.6,1.1,0.08,0.06,0.14,0.08,0.14,Matches
54,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,27,1991,36,36,3167,4,0,0,0,2,1,0.11,0,0.11,0.11,0.11,2.7,2.7,0.9,0.08,0.03,0.1,0.08,0.1,Matches
55,Léo Bonatini\Leo-Bonatini,br BRA,FW,Wolves,24,1994,7,0,135,0,1,0,0,0,0,0,0.67,0.67,0,0.67,1.5,1.5,0.3,0.99,0.18,1.17,0.99,1.17,Matches
56,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,30,1988,22,19,1808,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0,0.03,0.03,0,0.03,Matches
57,Artur Boruc\Artur-Boruc,pl POL,GK,Bournemouth,38,1980,12,12,1080,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Robbie Brady\Robbie-Brady,ie IRL,MFFW,Burnley,26,1992,16,6,720,0,1,0,0,3,1,0,0.12,0.12,0,0.12,0.7,0.7,1.4,0.08,0.18,0.26,0.08,0.26,Matches
59,Miguel Britos\Miguel-Britos,uy URU,DF,Watford,33,1985,3,2,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,David Brooks\David-Brooks,wal WAL,MFFW,Bournemouth,21,1997,30,29,2261,7,5,0,0,3,0,0.28,0.2,0.48,0.28,0.48,5.7,5.7,3.7,0.23,0.15,0.37,0.23,0.37,Matches
61,Bruno\Bruno,es ESP,DF,Brighton,37,1980,14,14,1131,0,1,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.3,0.01,0.02,0.03,0.01,0.03,Matches
62,Joe Bryan\Joe-Bryan,eng ENG,DF,Fulham,24,1993,28,27,2345,0,1,0,0,5,0,0,0.04,0.04,0,0.04,0.7,0.7,2.6,0.03,0.1,0.12,0.03,0.12,Matches
63,David Button\David-Button,eng ENG,GK,Brighton,29,1989,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,36,1981,2,2,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Gary Cahill\Gary-Cahill,eng ENG,DF,Chelsea,32,1985,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Tom Cairney\Tom-Cairney,sco SCO,MFFW,Fulham,27,1991,31,24,2194,1,1,0,0,0,0,0.04,0.04,0.08,0.04,0.08,1.1,1.1,2.9,0.04,0.12,0.16,0.04,0.16,Matches
67,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,21,1997,35,19,1784,6,2,0,0,3,0,0.3,0.1,0.4,0.3,0.4,5.2,5.1,1.1,0.26,0.06,0.32,0.26,0.31,Matches
