Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
52,Sven Bender\Sven-Bender,de GER,DF,Leverkusen,29,1989,27,25,1991,0,0,0,0,3,0,0,0,0,0,0,0.8,0.8,0.2,0.04,0.01,0.05,0.04,0.05,Matches
53,László Bénes\Laszlo-Benes,sk SVK,MF,M'Gladbach,20,1997,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Nabil Bentaleb\Nabil-Bentaleb,dz ALG,MF,Schalke 04,23,1994,25,19,1792,3,0,3,3,4,0,0.15,0,0.15,0,0,3.1,0.8,0.9,0.15,0.04,0.2,0.04,0.08,Matches
55,Louis Beyer\Louis-Beyer,de GER,DF,M'Gladbach,18,2000,9,8,720,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.05,0.01,0.06,0.05,0.06,Matches
56,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,28,1990,25,20,1790,1,2,0,0,0,0,0.05,0.1,0.15,0.05,0.15,1.9,1.9,0.5,0.1,0.03,0.12,0.1,0.12,Matches
57,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Hoffenheim,24,1993,21,13,1069,1,3,0,0,1,0,0.08,0.25,0.34,0.08,0.34,2.5,2.5,1.4,0.21,0.12,0.33,0.21,0.33,Matches
58,Pablo de Blasis\Pablo-de-Blasis,ar ARG,FW,Mainz 05,30,1988,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.06,0.09,0.15,0.06,0.15,Matches
59,Danny Blum\Danny-Blum,de GER,FW,Eint Frankfurt,27,1991,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,29,1988,20,19,1693,0,2,0,0,1,0,0,0.11,0.11,0,0.11,0.6,0.6,0.8,0.03,0.04,0.07,0.03,0.07,Matches
61,Adam Bodzek\Adam-Bodzek,de GER,MFDF,Düsseldorf,32,1985,21,20,1596,0,1,0,0,5,1,0,0.06,0.06,0,0.06,0.1,0.1,0.8,0,0.05,0.05,0,0.05,Matches
62,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,MFFW,Mainz 05,24,1994,30,25,2127,4,7,0,0,8,0,0.17,0.3,0.47,0.17,0.47,3.2,3.2,3.5,0.14,0.15,0.29,0.14,0.29,Matches
63,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,22,1995,10,6,616,0,0,0,0,2,0,0,0,0,0,0,0,0,0.3,0,0.05,0.05,0,0.05,Matches
64,Nassim Boujellab\Nassim-Boujellab,de GER,MF,Schalke 04,19,1999,7,4,378,0,1,0,0,0,0,0,0.24,0.24,0,0.24,0.6,0.6,0.4,0.14,0.08,0.23,0.14,0.23,Matches
65,Julian Brandt\Julian-Brandt,de GER,MFFW,Leverkusen,22,1996,33,30,2666,7,11,0,0,0,0,0.24,0.37,0.61,0.24,0.61,7.8,7.8,9.1,0.26,0.31,0.57,0.26,0.57,Matches
66,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Nürnberg,23,1995,13,12,1128,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Josip Brekalo\Josip-Brekalo,hr CRO,FWMF,Wolfsburg,20,1998,25,15,1415,3,3,0,0,2,0,0.19,0.19,0.38,0.19,0.38,2.2,2.2,1.6,0.14,0.1,0.24,0.14,0.24,Matches
